,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
1015,N,EQ,NILAINFRA,NILA INFRASTRUCTURES LTD,         7.90,         8.30,         8.30,         7.10,         7.50,                 16895970.85,2163386,N, ,2168,         8.30,         2.15,2021-01-08
1016,N,EQ,NILKAMAL,NILKAMAL LIMITED,      1518.30,      1525.80,      1545.05,      1501.00,      1511.05,                 18362922.90,12055,N, ,2092,      1633.70,       912.00,2021-01-08
1017,N,EQ,NIPPOBATRY,INDO-NATIONAL LIMITED,       706.25,       710.05,       715.50,       688.00,       693.90,                  2333179.45,3337,N, ,410,       742.00,       338.60,2021-01-08
1018,N,EQ,NITCO,NITCO LIMITED,        26.90,        28.20,        28.20,        27.30,        28.20,                  4886328.10,173748,N, ,654,        33.75,        10.75,2021-01-08
1019,N,EQ,NLCINDIA,NLC INDIA LIMITED,        55.35,        55.75,        56.75,        55.60,        56.00,                 85402670.90,1520577,N, ,10591,        62.80,        34.95,2021-01-08
1020,N,EQ,NOCIL,NOCIL LIMITED,       153.45,       154.70,       159.45,       154.25,       155.05,                257794187.70,1640643,N, ,15430,       164.00,        45.00,2021-01-08
1021,N,EQ,NORBTEAEXP,NORBEN TEA & EXPORTS LTD,         9.10,         8.90,         9.45,         8.65,         9.10,                    56558.70,6291,N, ,47,         9.95,         2.90,2021-01-08
1022,N,EQ,NOVARTIND,NOVARTIS INDIA LIMITED,       683.35,       685.35,       693.50,       681.00,       686.30,                  6534340.65,9488,N, ,636,       744.50,       612.20,2021-01-08
1023,N,EQ,NRAIL,N R AGARWAL INDS LTD,       227.00,       230.60,       233.00,       225.85,       226.45,                  5489452.85,24000,N, ,1300,       292.50,       123.30,2021-01-08
1024,N,EQ,NRBBEARING,NRB BEARING LIMITED,       112.20,       112.20,       113.80,       108.55,       109.90,                 66449351.30,597665,N, ,9574,       119.80,        48.00,2021-01-08
1025,N,EQ,NSIL,NALWA SONS INVESTMENT LTD,       994.05,       998.80,      1020.00,       996.00,       998.85,                  1680416.95,1678,N, ,241,      1048.00,       420.00,2021-01-08
1026,N,EQ,NTL,NEUEON TOWERS LIMITED,         1.30,         1.30,         1.35,         1.30,         1.35,                    66527.20,49949,N, ,86,         1.45,          .50,2021-01-08
1027,N,EQ,NUCLEUS,NUCLEUS SOFTWARE EXPORTS,       612.10,       615.00,       628.00,       612.00,       618.35,                 44238314.60,71455,N, ,3989,       755.00,       156.35,2021-01-08
1028,N,EQ,NXTDIGITAL,NXTDIGITAL LIMITED,       566.05,       566.05,       627.00,       540.90,       606.10,                 15427080.55,25548,N, ,2218,       724.80,       180.30,2021-01-08
1029,N,EQ,OAL,ORIENTAL AROMATICS LTD,       569.05,       576.90,       584.00,       563.15,       570.15,                 10812498.10,18872,N, ,2226,       617.95,       116.55,2021-01-08
1030,N,EQ,OBEROIRLTY,OBEROI REALTY LIMITED,       589.70,       591.00,       604.80,       585.40,       590.50,                333170483.90,558387,N, ,17564,       628.00,       290.00,2021-01-08
1031,N,EQ,OCCL,ORIENTAL CARBN & CHEM LTD,       824.25,       835.80,       848.65,       832.35,       834.90,                 11105684.30,13237,N, ,1344,      1069.00,       475.35,2021-01-08
1032,N,EQ,OIL,OIL INDIA LTD,       112.80,       113.90,       114.00,       112.80,       113.55,                149601549.30,1319269,N, ,8266,       159.80,        63.50,2021-01-08
1033,N,EQ,OLECTRA,OLECTRA GREENTECH LIMITED,       139.25,       140.55,       140.90,       135.50,       136.10,                 47462625.95,342928,N, ,3802,       191.80,        41.45,2021-01-08
1034,N,EQ,OMAXAUTO,OMAX AUTOS LTD,        46.20,        47.50,        49.00,        45.60,        46.35,                  1975177.80,41977,N, ,918,        66.70,        18.65,2021-01-08
1035,N,EQ,OMAXE,OMAXE LIMITED,        81.50,        81.50,        83.90,        77.40,        81.95,                 10062085.85,123163,N, ,1145,       222.10,        59.50,2021-01-08
1036,N,EQ,OMMETALS,OM METALS INFRAPRO LTD,        22.85,        23.95,        23.95,        23.50,        23.95,                 15449169.45,645081,N, ,759,        27.40,         9.90,2021-01-08
1037,N,EQ,ONMOBILE,ONMOBILE GLOBAL LTD.,        62.05,        63.25,        63.25,        60.55,        61.00,                 22988407.70,372850,N, ,2045,        71.45,        12.45,2021-01-08
1038,N,EQ,ONWARDTEC,ONWARD TECHNOLOGIES LTD,       103.65,       106.10,       111.90,       104.30,       106.85,                 37511615.00,347938,N, ,4421,       113.55,        34.30,2021-01-08
1039,N,EQ,ORBTEXP,ORBIT EXPORTS LIMITED,        77.10,        78.00,        89.05,        77.20,        84.35,                 45430077.00,547397,N, ,5252,        89.05,        48.05,2021-01-08
1040,N,EQ,ORICONENT,ORICON ENTERPRISES LTD,        27.60,        27.45,        29.00,        27.45,        28.55,                 17918357.60,626828,N, ,2058,        29.80,         8.65,2021-01-08
1041,N,EQ,ORIENTABRA,ORIENT ABRASIVE LTD,        23.70,        24.45,        26.90,        23.70,        25.40,                 24367782.35,943332,N, ,4110,        26.90,        10.00,2021-01-08
1042,N,EQ,ORIENTALTL,ORIENTAL TRIMEX LTD,        11.20,        11.05,        11.30,        11.00,        11.00,                   849680.75,76783,N, ,134,        12.30,         4.60,2021-01-08
1043,N,EQ,ORIENTBELL,ORIENT BELL LIMITED,       204.00,       208.50,       209.50,       199.00,       200.70,                  4742909.70,23291,N, ,931,       219.70,        48.75,2021-01-08
1044,N,EQ,ORIENTCEM,ORIENT CEMENT LTD.,        89.30,        90.00,        90.80,        88.05,        89.00,                 67577636.25,753812,N, ,6112,        91.20,        35.10,2021-01-08
1045,N,EQ,ORIENTELEC,ORIENT ELECTRIC LIMITED,       240.05,       242.50,       248.95,       232.00,       236.00,                176513009.95,734154,N, ,27468,       286.90,       145.05,2021-01-08
1046,N,EQ,ORIENTHOT,ORIENT HOTELS LTD,        25.80,        25.80,        26.50,        25.20,        25.60,                   947803.45,36875,N, ,324,        37.50,        13.75,2021-01-08
1047,N,EQ,ORIENTLTD,ORIENT PRESS LIMITED,        83.55,        84.00,        86.40,        83.10,        86.15,                   118781.35,1401,N, ,60,       133.20,        61.20,2021-01-08
1048,N,EQ,ORIENTPPR,ORIENT PAPER AND INDS LTD,        22.75,        23.00,        23.20,        22.55,        22.65,                 16528895.70,725537,N, ,1747,        30.20,        12.05,2021-01-08
1049,N,EQ,ORIENTREF,ORIENT REFRACTORIES LTD,       242.60,       242.85,       249.05,       238.00,       240.55,                 37191026.10,151522,N, ,1488,       268.55,       108.00,2021-01-08
1050,N,EQ,ORISSAMINE,ORISSA MIN DEV CO LTD,      2603.45,      2610.05,      2639.95,      2545.00,      2559.30,                 25730698.75,9950,N, ,1766,      3140.00,       862.60,2021-01-08
1051,N,EQ,ORTINLABSS,ORTIN LABORATORIES LTD,        30.80,        30.40,        31.20,        29.45,        29.55,                  4999774.45,167512,N, ,883,        33.95,         6.80,2021-01-08
1052,N,EQ,OSWALAGRO,OSWAL AGRO MILLS LTD,        12.45,        12.40,        12.85,        11.95,        12.10,                  2249939.65,182315,N, ,710,        16.15,         3.55,2021-01-08
1054,N,EQ,PAGEIND,PAGE INDUSTRIES LTD,     28666.70,     28889.00,     29989.95,     28700.00,     29843.30,               1640597639.60,55712,N, ,19370,     29989.95,     16254.00,2021-01-08
1055,N,EQ,PAISALO,PAISALO DIGITAL LIMITED,       710.35,       721.00,       721.00,       695.00,       701.75,                 14313222.70,20312,N, ,1148,       745.95,       145.10,2021-01-08
1056,N,EQ,PANACEABIO,PANACEA BIOTEC LTD,       239.65,       241.30,       242.05,       232.00,       233.55,                 30251200.85,128238,N, ,3220,       265.00,        85.95,2021-01-08
1057,N,EQ,PANACHE,PANACHE DIGILIFE LIMITED,        43.85,        45.30,        47.00,        44.50,        44.90,                  2848469.55,62420,N, ,419,        72.80,        33.30,2021-01-08
1058,N,EQ,PANAMAPET,PANAMA PETROCHEM LTD,       100.45,       100.50,       102.55,       100.05,       100.15,                  6722060.05,66694,N, ,827,       110.00,        25.50,2021-01-08
1060,N,EQ,PARACABLES,PARAMOUNT COMM LTD,        10.65,        10.95,        11.85,         9.65,        10.25,                 40001055.10,3709670,N, ,7011,        11.85,         4.95,2021-01-08
1061,N,EQ,PARAGMILK,PARAG MILK FOODS LTD.,       113.10,       113.95,       114.90,       112.85,       113.10,                 54467224.20,478986,N, ,6147,       162.90,        48.50,2021-01-08
